timestamp,elapsed_s,left_raw,right_raw,left_contact,right_contact,both_contact,asymmetry_ratio,pressure_total,pi_command_allowed,requested_action,reason,serial_timeout
1784022816.1210687,0.001,348,345,True,True,True,0.0043,693,True,DRIVE_ALLOWED,HANDLES_HELD,False
1784022816.3419976,0.247,347,344,True,True,True,0.0043,691,True,DRIVE_ALLOWED,HANDLES_HELD,False
1784022816.70456,0.461,347,344,True,True,True,0.0043,691,True,DRIVE_ALLOWED,HANDLES_HELD,False
1784022816.9213083,0.68,342,338,True,True,True,0.0059,680,True,DRIVE_ALLOWED,HANDLES_HELD,False
1784022817.1407144,1.046,338,335,True,True,True,0.0045,673,True,DRIVE_ALLOWED,HANDLES_HELD,False
1784022817.50722,1.264,335,330,True,True,True,0.0075,665,True,DRIVE_ALLOWED,HANDLES_HELD,False
1784022817.7239752,1.483,327,322,True,True,True,0.0077,649,True,DRIVE_ALLOWED,HANDLES_HELD,False
1784022817.9434917,1.848,323,319,True,True,True,0.0062,642,True,DRIVE_ALLOWED,HANDLES_HELD,False
1784022818.3094652,2.066,319,314,True,True,True,0.0079,633,True,DRIVE_ALLOWED,HANDLES_HELD,False
1784022818.527383,2.285,309,302,True,True,True,0.0115,611,True,DRIVE_ALLOWED,HANDLES_HELD,False
1784022818.746822,2.652,297,292,True,True,True,0.0085,589,True,DRIVE_ALLOWED,HANDLES_HELD,False
1784022819.1130178,2.869,287,282,True,True,True,0.0088,569,True,DRIVE_ALLOWED,HANDLES_HELD,False
1784022819.329835,3.089,270,266,True,True,True,0.0075,536,True,DRIVE_ALLOWED,HANDLES_HELD,False
1784022819.5492878,3.454,266,262,True,True,True,0.0076,528,True,DRIVE_ALLOWED,HANDLES_HELD,False
1784022819.9159036,3.672,262,258,True,True,True,0.0077,520,True,DRIVE_ALLOWED,HANDLES_HELD,False
1784022820.1329122,3.891,260,256,True,True,True,0.0078,516,True,DRIVE_ALLOWED,HANDLES_HELD,False
1784022820.3525658,4.258,260,256,True,True,True,0.0078,516,True,DRIVE_ALLOWED,HANDLES_HELD,False
1784022820.7178814,4.474,260,257,True,True,True,0.0058,517,True,DRIVE_ALLOWED,HANDLES_HELD,False
1784022820.935245,4.694,262,258,True,True,True,0.0077,520,True,DRIVE_ALLOWED,HANDLES_HELD,False
1784022821.1578329,5.062,266,264,True,True,True,0.0038,530,True,DRIVE_ALLOWED,HANDLES_HELD,False
1784022821.5208406,5.277,275,271,True,True,True,0.0073,546,True,DRIVE_ALLOWED,HANDLES_HELD,False
